Cpu,Ram,Weight,Price,Acer,Apple,Asus,Chuwi,Dell,Fujitsu,Google,HP,Huawei,LG,Lenovo,MSI,Mediacom,Microsoft,Razer,Samsung,Toshiba,Vero,Xiaomi,No
97,8,2.5,2783.88,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
93,16,2.65,4915.08,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
61,4,2.1,1313.352,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
88,8,2.23,1976.688,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
93,16,3.2,4659.336,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
103,16,2.8,8138.52,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
93,16,2.4,3724.272,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
52,6,2.3,1169.496,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
97,8,1.21,5192.136,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
97,8,1.2,3860.136,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
67,8,2.2,1590.408,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
93,8,2.4,2075.256,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
93,16,2.9,3748.248,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49,4,2.1,929.736,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
67,8,2.2,1462.536,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
88,8,1.05,3993.336,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
97,8,1.4,2482.528,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
67,8,2.8,1569.096,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
97,8,1.63,2746.584,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
75,8,1.6,3060.936,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
97,16,1.62,3407.256,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
75,8,2.2,1804.46,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
75,8,1.74,2394.936,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
80,8,1.2,3631.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
75,8,2.1,2115.216,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
93,16,4.42,6543.69,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
88,8,2.2,2216.448,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
88,16,2.3,2288.403,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
67,8,2,2048.616,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
67,8,2.69,2373.624,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
88,8,1.9,3380.616,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
52,4,2.37,1062.909,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17,4,2.1,879.12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
93,16,3.2,3993.336,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
67,8,1.6,2288.376,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
61,8,1.6,1835.496,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
88,16,2.36,2394.936,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49,4,2.1,1038.96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,4,2.2,1531.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94,32,4.7,10362.96,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
69,8,2.5,2253.744,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49,8,2.2,1569.096,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
97,8,2.1,3050.28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
88,8,2.69,2368.296,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
69,8,2.56,2341.656,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
88,8,1.38,2874.456,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
